Total score,Job Title,Role Classification,Country of Residence ,"1. Does your company offer health & wellness benefits (i.e. medical insurance coverage, employee and family assistance programs, health/body check-ups, gym membership subsidy, discounts at healthy F&B outlets, subsidy for massage therapy, etc.)? ",2a. Has your company hosted wellness/ fitness/ team building activities/ workshops within the last year?,"2b. If yes to the above, which of the following topics have been covered? (select all that apply)","3. Does your company have a dedicated employee, team, or social committee responsible for company culture?","4a. Does your company support positive social activities led by employees? (i.e. sports teams, fundraisers, bake sales, yoga classes, fitness challenges, after-work social gatherings) ","4b. If yes to the above, could you please list the activities and how your company supported them?","5. Does the company provide online wellness services? (e.g. subscription to fitness/ wellness content library, meditation apps, health/fitness publications, mental health section in newsletter, healthy food ordering app, etc.) ","6a. Does your company provide access to nutritious food & beverages (e.g. daily refilled fruit, bottled mineral water, snack bars, juice, coffee, tea, healthy snack vending machines, etc.) ","6b. If yes to the above, could you please list the food & beverages provided? ","7a. Does your company provide access to health/ wellness facilities? (e.g. gym, open space for movement, meditation room, ideation room, quiet area, social area, digital library, etc.) ","7b. If yes to the above, could you please list the facilities?","8a. Does your company provide access to in-office health/wellness equipment (i.e. standup desk, ergonomic chair, blue light glasses, yoga mat, stability ball, stress balls, noise-cancelling headphones, phone booths)? ","8b. If yes to the above, could you please list the equipment provided? ","9. Share 2 examples of workplace wellness practices your company is currently practicing. (e.g. monthly team building workshops, yoga classes, weekly non-work related check-ins, continuing education opportunities, etc.)  ","10. How does your company measure the level of your health, well-being and vitality? (e.g. health check-ups, surveys, interviews, focus groups, etc.) ",11. Name 2-3 adjectives to describe your company culture. ,"12. Nominate 2 of your colleagues (provide first & last name) who lead / coordinates team activities? (i.e. team socials, dim sum lunch as a team, weekend hiking, sport betting pools, games night, etc.) ","13. Nominate 2 of your colleagues (provide first & last name) who lead by example and/or encourages wellness? (i.e. they are knowledgeable about personal wellness, regularly attends physical activities like yoga, tai chi, fitness classes, encourages healthy eating, etc. *can be the same people as in the previous question.)","14. I experience POSITIVE EMOTION at work ... (e.g. joy, appreciation, confidence, laughter, fun, inspiration, etc.) ","15. I experience ENGAGEMENT at work ... (e.g. focus, concentration, flow state, productivity, connection, etc.) ","16. I experience POSITIVE RELATIONSHIPS at work ... (through positive interactions such as teamwork, respectful communication, acts of service/kindness, supportive discussions, constructive conversations, mentoring sessions, caring gestures, healthy competition, etc.) ","17. I experience MEANINGFULNESS at work ... (e.g. inspired, trusted, respected, purpose, seen and heard, acknowledged, fulfilled, growth, contribution to something greater, etc.) ","18. I experience ACCOMPLISHMENT at work ... (e.g. achievement, satisfaction, completion, attainment, increased self-confidence, increased self-esteem, celebration, etc.) ","19. I experience VITALITY at work ... (i.e. high energy, nourished, energized, excited, motivated, spirited, liveliness, etc.) ",20. How many times per week do you undertake moderate to high intensity PHYSICAL ACTIVITY? (20+ minutes of continuous activity with elevated heart-rate),"21. How many times per week do you SOCIALIZE with colleagues? (e.g. coffee break conversations, lunch, commute, happy hour, events, etc.) ","22. How often do you give QUALITY TIME and attention to your colleagues/peers? (i.e. provide mentorship and guidance, hold space for venting, acts of kindness and thoughtfulness, spend quality non work-related time, etc.) ","23a. How often do you engage in vocational (job-specific) LEARNING? (i.e. online courses, technical workshops, certification/designation educational credits, post-graduate education, etc.)","23b. How often do you engage in personal GROWTH and development learning? (i.e. personal development retreats/events, coaching, personal training, therapy, extra-curricular courses, hobby workshops, book clubs, etc.) ","24. How often do you spend time to take notice of your SURROUNDINGS? (i.e. appreciate things around you, walk in nature, journaling, meditation, observe your thoughts, moments to reflect) ","25. How often do you feel ACKNOWLEDGED? (i.e. rewarded, complemented, recognized, supported, celebrated, awarded, concerned for, etc.) ",26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Stress Optimization ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Mindset Coaching ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Sleep Strategies ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Social Wellbeing ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Leadership & Teamwork ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Physical Health & Fitness ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Nutrition & Gut Health],"26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Job Satisfaction - Community Environment, Peer Relations, Responsibilities ]","26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Work Stress - Workload, People Issues, Support ]","26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Financial Reimbursement - Rewards, Pay, Benefits, Recognition ]","26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Work Life Balance - Flexible Hours, Work From Home (WFH), Telecommunication, Remote Working, Part-Time options ]","26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Working Conditions - Ambiance (lighting, temperature, etc.), Outer Environment (work space, ergonomics, wellness design), Inner Environment (nutrition, wellness, mental health), Culture (diversity, inclusion, respect, fairness) ]","26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Motivation - Engagement activities, Continuing Education, Team Building ]","Do you have any final comments, suggestions, or questions about improving the Quality of Work Life at your workplace? ","Do you have any final comments, suggestions, or questions about improving the Quality of Work Life at your workplace?  [Score]",Would you be interested in exploring an Individual or Group Coaching program?
30,"Senior Manager, Employee Engagement & Experience ","Middle Management (Manager, Senior Manager)",HK & Macau,Yes,Yes,Exercise & Fitness;Yoga,Yes,Yes,,No,No,,No,,No,,test,test,test,test,test,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,5,5,5,5,5,5,5,5,5,5,5,5,5,efqf,0,No thanks
29,HR Intern,Entry (Associate),Japan,Yes,Not sure,Breathing,Yes,Yes,Softball team,No,No,,No,,No,,"Breathing technique, Massage  ",I don't know ,"Friendly, Respectful, Passionate ","Kenta Yorozui, Tsutomu Kuriyama","Ko Yamauchi, Kyohei  Morita ",Daily,Most days,Most days,Daily,Daily,Daily,Most day,Rarely / Never,Rarely / Never,Most days,Daily,Daily,Most days,6,5,6,4,3,1,2,5,4,1,2,6,2,None in the moment. ,0,"Yes, absolutely"
26,"Sr Director, Talent Management APEC","Senior Management (Associate Director, Director, Senior Director)",Singapore,Yes,Yes,Stress management;Nutrition;Exercise & Fitness;Mindfulness;Mental Health;Leadership,Yes,No,,No,Yes,"Fruits day, Coffee, Tea, snack Vending Machiness",Yes,"Gym * not during covid, prayer room for muslim colleagues",Yes,"Stand up table, Ergonomic chair, Screen filters, noise cancelling headset","Educational talks, Health and safety week.","Health check up, surveys",Caring and collaborative,"Mardiana Nossi, Ong Hui Boon","Mardiana Nossi, Ong Hui Boon",Most days,Most days,Most days,Most days,Most days,Most days,Once a week,Rarely / Never,Once a week,Once a week,Once a week,Most days,Half the time,3,1,2,4,5,6,6,1,3,6,2,4,5,Employee Assistance Program - where employees who needs a listening ear or some counselling may dial into. This is especially important in this pandemic times where mental well being can be challenged in so many ways.,1,No thanks
13,HR Performance and Program Manager,"Middle Management (Manager, Senior Manager)",Indonesia & E. Timor,Yes,Yes,Mindfulness;Mental Health;Financial Management,Yes,Yes,"Health/hobbies based club, virtual fun challenges (individual / team)",Yes,Yes,"The application varies from one location to another. But some offices offer traditional herbal medicine, other provide fruits",Yes,Gym,No,,"Health talk sessions, Covid-19 health and safety kit ",surveys and meetings (1 to 1 or group meetings),"dynamic, fast","Clarisa Wirija, Ulya Atika","Rosalia Dwita Sulistyowati, Rany Anggrainy",Once a week,Once a week,Half the time,Once a week,Once a week,Rarely / Never,Once a week,Rarely / Never,Rarely / Never,Once a week,Once a week,Rarely / Never,Once a week,6,5,5,6,4,5,5,6,6,6,6,5,5,"Thankful, curious and excited to partake in this program. Hopefully the result can be shared to the senior management team, to highlight the importance of holistic approach and from there, carve out a strategic approach in wellness management for all employees.",1,"Yes, absolutely"
29,HR executive,"Middle Management (Manager, Senior Manager)",Japan,Yes,Yes,Stress management;Massarge,No,Yes,"Baseball, golf, futsal, Walking",Yes,No,,Yes,Central Sports Club,No,,"Walking Event, Massarge",Health Check (annually),"Speed, Passion, Teamwork, As One","Chizuko Watanabe, Akiko Shimizu","Yoshiyuki Sasaki, Kyohei Morita",Most days,Most days,Most days,Most days,Most days,Most days,Most day,Most days,Most days,Once a week,Rarely / Never,Rarely / Never,Rarely / Never,4,4,5,4,4,4,4,4,4,4,5,4,4,Enjoyment is really the key to keep up your health conditions,1,"Yes, absolutely"
25,HR Performance and Programs Manager,"Middle Management (Manager, Senior Manager)",Thailand,Yes,Yes,Nutrition;Exercise & Fitness;Leadership,Yes,Yes,"Sport Teams, Fundraiser, Fitness Challenge",Yes,Yes,"Salad, Fruits",Yes,Gym,Yes,Ergonomic Chair,"Weekly Check-in, Annual Health Check Up","Interviews, Health Check-ups","Caring, Fun, Engagement","Todwisit Akaraguntrakorn , Penphat Rutthananurak","Khingpai Viyanut, Chanonphawit Phatthanaphong",Most days,Most days,Most days,Most days,Most days,Half the time,Once a week,Half the time,Half the time,Once a week,Half the time,Most days,Once a week,1,4,5,5,2,1,3,1,2,3,2,1,1,No,0,"Yes, absolutely"
18,C&B Manager,"Middle Management (Manager, Senior Manager)",Thailand,Yes,Yes,Mindfulness,Yes,Yes,"Football club, Badminton Club, Running Club, Yoga Club",Yes,No,,Yes,"In Facility Gym, Massage room",Yes,"Stress Ball, Yoga Map, Stability ball","Mindfullness app ""Calm"", Food and beverage to home during covid19.",Employee Feedback ,"Open, Flexibility","Sarayut Sarayot , Penphat Rutthananurak","Khingpai Viyanut, Chanonphawit Phatthanaphong",Half the time,Daily,Most days,Half the time,Half the time,Half the time,Daily,Half the time,Once a week,Rarely / Never,Once a week,Rarely / Never,Half the time,6,3,6,6,6,6,4,3,4,4,5,5,5,No,0,"Maybe, depends on the Coach"
23,Talent Management L&D Executive,Entry (Associate),Japan,Yes,Yes,Stress management;Mental Health;Leadership,Yes,No,,Yes,No,,Yes,Massage room,Yes,"noise-cancelling earphone, portable air purifier(to be distributed)",Complete health check-up and yearly regular health check,health check-ups,"Open, positive, approachable",Yoshiyuki Sasaki and Tsutomu Kuriyama,Yoshiyuki Sasaki and Tsutomu Kuriyama,Most days,Most days,Daily,Daily,Most days,Most days,Rarely / Never,Once a week,Once a week,Rarely / Never,Half the time,Half the time,Half the time,2,1,1,3,1,1,1,2,2,1,1,1,2,Nothing,0,
23,HR BP,"Middle Management (Manager, Senior Manager)",Thailand,Yes,Yes,Nutrition;Exercise & Fitness;Workplace Hygiene;COVID converge of treatment ,Yes,Yes,sport club (support cost),No,Yes,"water, coffee, tea",Yes,"gym, pray room, relax room ",Yes,"massage chair, yoga mat, reading corner  ",mask distribution and covid health kit ,"health check up, vaccine survey ","Engagement, Respect& Result ",Sarayut Sarayot and Penphat Rutthananurak,Tantirak Punyanuphab and Chanonphawit Phatthanaphong ,Most days,Most days,Most days,Most days,Most days,Half the time,Half the time,Half the time,Half the time,Once a week,Once a week,Half the time,Half the time,2,2,2,2,1,1,1,2,1,2,2,2,2,How we can adapt to new way of working at post COVID,1,"Maybe, depends on the time committment"
15,Compensation & Benefits Senior Manager,"Middle Management (Manager, Senior Manager)",Japan,Yes,Yes,Stress management;Mental Health,Yes,Yes,"Music Night, Walking",No,No,,No,,No,,"Massage service, Birthday message",Health Checkup,"Respect, As One","Yuichi Oana, Yukako Sakio","Yukako Sakio, Shoko Sato",Most days,Half the time,Half the time,Half the time,Half the time,Half the time,Once a week,Most days,Half the time,Half the time,Most days,Half the time,Half the time,3,3,1,2,3,3,3,1,2,2,1,2,2,No,0,"Maybe, depends on the Coach"
